,time_list,x,y,psi,u,v,r,δ,npm,X_H_ref,X_R_ref,X_P_ref,Y_H_ref,Y_R_ref,N_H_ref,N_R_ref,x_bow,y_bow,x_stern,y_stern
51,51,32.66261833333334,-0.23368666666666668,-1.6278045043788545,0.15625435514420682,0.0670351856085897,-0.07981716965138741,-0.6108652381980153,9.0,-1.0351309503395112,-2.8350809960610834,3.9141397909889166,-7.840310714717145,4.048915273477085,7.080719980134202,-8.05951613910428,32.56290805165731,-1.9808437459609372,32.76232861500937,1.513470412627604
52,52,32.720641666666666,-0.39350666666666656,-1.707621674030242,0.16888483231502993,0.0632720326582135,-0.0886884714030689,-0.6108652381980153,9.0,-1.1829845159861216,-2.8673333999602004,3.8520294246316276,-8.642416851687072,4.094976479818251,8.479521018582602,-8.151202680021804,32.48194372328735,-2.1271511780433463,32.95933961004598,1.3401378447100134
53,53,32.760286666666666,-0.5694433333333333,-1.7963101454333108,0.16762119785205534,0.07012183777839684,-0.08696225950743752,-0.6108652381980153,9.0,-1.2015838240950318,-2.8564558852423385,3.8581351569135873,-9.037531110695351,4.079441778855628,8.33976166019819,-8.120280281140163,32.36897406659767,-2.2751321821645742,33.15159926673566,1.1362455154979074
54,54,32.791151666666664,-0.7484999999999999,-1.8832724049407483,0.16239634552022064,0.07559029858027427,-0.0809049864845468,-0.6108652381980153,9.0,-1.116720174483531,-2.844617375176842,3.8839537979235192,-8.73823000744225,4.062534634302793,7.454944413714373,-8.086625982349979,32.25317410202685,-2.4137567789816123,33.32912923130648,0.9167567789816125
55,55,32.813158333333334,-0.9262699999999999,-1.9641773914252951,0.1531112582069014,0.06433891231655486,-0.078444691496391,-0.6108652381980153,9.0,-0.9896031632897407,-2.8302927552292485,3.9295710387977394,-7.442838742363875,4.042076956877299,6.804400308473998,-8.045904216088426,32.14235985989177,-2.5426020846993262,33.4839568067749,0.6900620846993264
56,56,32.81389333333333,-1.0923483333333333,-2.042622082921686,0.1455485254943896,0.07508199783324403,-0.07762005555726414,-0.6108652381980153,9.0,-1.000948668583651,-2.782671245346966,3.966101052189431,-8.306676377699471,3.974066392460867,7.002398701633427,-7.910526663207922,32.01849503047808,-2.6511432331886606,33.60929163618859,0.4664465665219941
57,57,32.797311666666666,-1.25528,-2.1202421384789503,0.14033724259398575,0.0810057538903175,-0.07734719672676249,-0.6108652381980153,9.0,-0.9874358467866422,-2.7512495748075505,3.9913649720643565,-8.862158168695709,3.929191596311494,7.194196688564915,-7.821201715814224,31.88343595993564,-2.7477046019973237,33.71118737339769,0.2371446019973238
58,58,32.77601833333334,-1.4159133333333334,-2.1975893352057128,0.1396288480522767,0.07744069002888691,-0.07189593644654035,-0.6108652381980153,9.0,-0.8934393090534627,-2.7725443793817095,3.995000966760304,-7.800823023345827,3.9596037290180415,6.193637718903492,-7.881738194801225,31.749555141475692,-2.833260614616721,33.802481525190984,0.0014339479500542485
59,59,32.7402,-1.57151,-2.269485271652253,0.13753871980266738,0.07475647637896511,-0.07018097996712491,-0.6108652381980153,9.0,-0.8550070018307677,-2.7738700127894056,4.005217181863326,-7.354350365643331,3.9614969297269136,5.867884570602508,-7.885506681083879,31.61457482873451,-2.911460735591999,33.86582517126549,-0.2315592644080009
60,60,32.69294166666667,-1.7207483333333333,-2.339666251619378,0.13227119174070548,0.07877748560516573,-0.06584064471688311,-0.6108652381980153,9.0,-0.7705226095783262,-2.759317284622598,4.0307753041396746,-7.1948153825956265,3.9407134800028274,5.370274297703008,-7.8441364529699955,31.476125539448656,-2.9784679016561597,33.90975779388468,-0.4630287650105067
61,61,32.641954999999996,-1.8660133333333335,-2.405506896336261,0.12935452961492575,0.0756931629547933,-0.06322130184062491,-0.6108652381980153,9.0,-0.7203822142709574,-2.7609924737637397,4.044980042126809,-6.628568890991281,3.943105898035665,4.932722360728844,-7.8488986498659,31.345026112521126,-3.040949697917741,33.938883887478866,-0.6910769687489262
62,62,32.58206,-2.003398333333333,-2.468728198176886,0.12838187957074793,0.07581686973735517,-0.06436979661456554,-0.6108652381980153,9.0,-0.7328162661046829,-2.7528783688195873,4.049599322193206,-6.778122564976732,3.9315177552331773,5.108954478138497,-7.825832021489978,31.21349058454515,-3.0940484858027513,33.95062941545485,-0.9127481808639151
63,63,32.514491666666665,-2.136306666666667,-2.5330979947914516,0.12390309730400673,0.07933455962375877,-0.06062720922500908,-0.6108652381980153,9.0,-0.6543464132518476,-2.7406938149489326,4.071235251840306,-6.658463461106042,3.9141164089097598,4.709589540891519,-7.791193995731714,31.078600129467365,-3.1366643493979147,33.95038320386596,-1.135948983935419
64,64,32.44413333333333,-2.2655183333333335,-2.5937252040164607,0.12880930344017322,0.08418770082072152,-0.061468458987134156,-0.6108652381980153,9.0,-0.6794293488768988,-2.750105706418091,4.047571419826513,-7.16069372374117,3.9275579829511122,4.908079774163525,-7.817949947784078,30.95026816412931,-3.177037316261848,33.937998502537354,-1.353999350404819
65,65,32.36371666666667,-2.3967150000000004,-2.655193663003595,0.12572256128873863,0.08175995710478873,-0.0644318996287998,-0.6108652381980153,9.0,-0.7144218972333345,-2.731439332145086,4.062336107676929,-7.32149733237447,3.9008996377400176,5.3101304134505884,-7.764885522139499,30.816678407320282,-3.214744720803899,33.910754926013055,-1.5786852791961017
66,66,32.27735666666667,-2.5193233333333334,-2.7196255626323946,0.12536821096078407,0.08408699620329299,-0.0688049373235895,-0.6108652381980153,9.0,-0.774791744021781,-2.7113411927552695,4.0639360698817715,-8.104637889838015,3.8721965200312254,6.061366143223621,-7.707750900940583,30.680857790044357,-3.2360459693255965,33.87385554328898,-1.8026006973410702
67,67,32.18434166666667,-2.6382183333333336,-2.788430499955984,0.10925928810085522,0.07747720144823725,-0.05823859251808283,-0.6108652381980153,9.0,-0.5522839928132778,-2.6916795401004725,4.141460635219761,-6.307547406062552,3.844116769983022,4.48104394964032,-7.651857116208169,30.542345152089904,-3.243484759064808,33.826338181243436,-2.032951907601859
68,68,32.09737333333333,-2.740085,-2.846669092474067,0.10567186002409365,0.07753898735577297,-0.05988699214430948,-0.6108652381980153,9.0,-0.5563075195582639,-2.671607320282669,4.158577576263908,-6.537398541607196,3.815450669259336,4.758720380458463,-7.594796178692098,30.422930697461208,-3.248751746675678,33.771815969205456,-2.231418253324322
69,69,32.008158333333334,-2.8361033333333334,-2.9065560846183764,0.10424329261418899,0.07354315430379749,-0.061388714556853685,-0.6108652381980153,9.0,-0.5835899641841614,-2.6678183535959805,4.165391757398612,-6.387973209426771,3.8100394640381294,4.872558875721212,-7.584024973846692,30.306273138089015,-3.243640794443606,33.71004352857765,-2.4285658722230608
